============================================================================  ==================================================  ===================  ===================  ===================  ===================
File path                                                                     File name                                             File size (bytes)  last access          Last modified        Creation time
============================================================================  ==================================================  ===================  ===================  ===================  ===================
.\.git\objects\08                                                             523eef4ea80af96ff58b167051a8016b8b1864                             2157  15/01/2020 15:59:31  15/01/2020 15:59:31  15/01/2020 15:59:31
.\.git\objects\08                                                             6bee61674f921133504b278544e9fefcb00be8                             3415  15/01/2020 13:59:50  15/01/2020 13:59:50  15/01/2020 13:59:50
.\.git\objects\08                                                             7039be14d06ad377d40184c6850ad9e40a998a                             1670  15/01/2020 15:59:25  15/01/2020 15:59:25  15/01/2020 15:59:25
.\.git\objects\09                                                             281556f74354848f21ff06ce763ea840b71a2c                             1845  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
.\.git\objects\09                                                             6fb95ea68608cfc17b581d56531406edfd29d5                              194  15/01/2020 14:01:49  15/01/2020 14:01:49  15/01/2020 14:01:49
.\.git\objects\09                                                             75ce1a5cce6eb0044704310ee8e74b4c20446d                             1587  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
.\.git\objects\09                                                             805e5b14f8be25a7b3a23b00f6c38262381f05                              222  15/01/2020 15:59:43  15/01/2020 15:59:43  15/01/2020 15:59:43
.\.git\objects\09                                                             86a131f70857062cacbcb2ca372b57b849c5a0                             1039  15/01/2020 15:59:27  15/01/2020 15:59:27  15/01/2020 15:59:27
.\.git\objects\09                                                             99df71b97da8cb8e2aa4acb1629c5fb706d0b2                             2334  15/01/2020 14:01:49  15/01/2020 14:01:49  15/01/2020 14:01:49
.\.git\objects\09                                                             b775b5fc63de1a2d394e69f379ddb6685a72cc                             1759  15/01/2020 15:59:27  15/01/2020 15:59:27  15/01/2020 15:59:27
.\.git\objects\0a                                                             5e6715b1c702341c59a5fa2f765c65b43571a4                             1960  15/01/2020 15:59:36  15/01/2020 15:59:36  15/01/2020 15:59:36
.\.git\objects\0a                                                             9cfd9254c0910b8dbc5132ece08f4da120a8c8                             1245  15/01/2020 15:59:32  15/01/2020 15:59:32  15/01/2020 15:59:32
.\.git\objects\0b                                                             80407c000b58cbaebf0cd81c3784affcc96c65                             6956  15/01/2020 15:59:36  15/01/2020 15:59:36  15/01/2020 15:59:36
.\.git\objects\0b                                                             90be7f6c7879614cf88059d20852c4c07c0430                             5225  15/01/2020 15:59:26  15/01/2020 15:59:26  15/01/2020 15:59:26
.\.git\objects\0c                                                             bd2df52c65f8202576361581de45fc3bc882e8                              221  17/01/2020 10:20:21  17/01/2020 10:20:21  17/01/2020 10:20:21
.\.git\objects\0c                                                             cd0a64bfb57e946d2f8ccbfc87117934ae3f0e                             4985  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
.\.git\objects\0c                                                             f01691852da227887ffbdc5d3faf5460a509e7                              947  15/01/2020 15:59:26  15/01/2020 15:59:26  15/01/2020 15:59:26
.\.git\objects\0d                                                             410b186f8b23c988f9d75f20a140a6e7448554                              174  15/01/2020 16:41:13  15/01/2020 16:41:13  15/01/2020 16:41:13
.\.git\objects\0d                                                             be9c4d73d992d0ec8eb6e148fbe5351cbbbf54                             2059  17/01/2020 11:29:25  17/01/2020 11:29:25  17/01/2020 11:29:25
.\.git\objects\0e                                                             05d42312a5c7eb3a3aaec2bd223f786d489ebf                             2020  15/01/2020 15:59:24  15/01/2020 15:59:24  15/01/2020 15:59:24
.\.git\objects\0e                                                             06ffdbdfb66b9b789231f0583274f4dca95d8c                             5973  15/01/2020 15:59:35  15/01/2020 15:59:35  15/01/2020 15:59:35
.\.git\objects\0e                                                             c909af8c8f3408e754c39efcf99bdf8f855dd3                              592  17/01/2020 15:45:33  17/01/2020 15:45:33  17/01/2020 15:45:33
.\.git\objects\0e                                                             f06134abe2e4308502dc7acf6245920a11d0a4                             1836  15/01/2020 15:59:31  15/01/2020 15:59:31  15/01/2020 15:59:31
