=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
 2964  svchost.exe                                                         2020-01-24 18:10:01       12  running          2404352             0              0            9  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 3040  NVDisplay.Container.exe                                             2020-01-24 18:10:01       12  running          3424256       9172072         160023           11  NT AUTHORITY\SYSTEM           C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe
 3084  sihost.exe                                                          2020-01-28 10:25:03       12  running          8339456        141824              0           12  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\sihost.exe
 3112  HPCommRecovery.exe                                                  2020-01-24 18:12:04       12  running          4440064      18564446        2511040           10  NT AUTHORITY\SYSTEM           C:\Program Files\HPCommRecovery\HPCommRecovery.exe
 3164  svchost.exe                                                         2020-01-24 18:10:01       12  running          1032192             0          16608            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 3172  svchost.exe                                                         2020-01-24 18:10:01       12  running          2359296             0              0            7  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 3200  Memory Compression                                                  2020-01-24 18:10:01       12  running        447787008             0              0          246  NT AUTHORITY\SYSTEM           -
 3432  svchost.exe                                                         2020-01-24 18:10:02       12  running           917504             0              0            8  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 3456  svchost.exe                                                         2020-01-24 18:10:02       12  running          4841472      14739800              0           12  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 3524  RtkAudioService64.exe                                               2020-01-24 18:10:02       12  running           430080             0              0            4  NT AUTHORITY\SYSTEM           C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe
 3544  fontdrvhost.exe                                                     2020-01-27 22:26:22       12  running          3121152          2437              0            5  Font Driver Host\UMFD-5       C:\Windows\System32\fontdrvhost.exe
 3556  csrss.exe                                                           2020-01-27 22:26:21       12  running          1392640       9668888            165           13  NT AUTHORITY\SYSTEM           C:\Windows\System32\csrss.exe
 3776  dasHost.exe                                                         2020-01-24 18:10:02       12  running           122880             0              0            1  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\dasHost.exe
 3816  PresentationFontCache.exe                                           2020-01-24 18:10:02       12  running          8777728       1812970              0            4  NT AUTHORITY\LOCAL SERVICE    C:\Windows\Microsoft.NET\Framework64\v3.0\WPF\PresentationFontCache.exe
 4008  svchost.exe                                                         2020-01-24 18:10:02       12  running          4079616        180134              0            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 4028  svchost.exe                                                         2020-01-24 18:13:14       12  running          1597440         11783              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 4156  svchost.exe                                                         2020-01-24 18:10:02       12  running           462848         61712              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 4176  svchost.exe                                                         2020-01-24 18:10:02       12  running          2121728             0              0           11  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
