==============================================================  =======================================================================================================================  =========  =====================================
WinSAT                                                          \Microsoft\Windows\Maintenance\WinSAT                                                                                    Completed  2020-01-22 17:49:19 (Central EU Time)
MapsUpdateTask                                                  \Microsoft\Windows\Maps\MapsUpdateTask                                                                                   Completed  2020-01-29 11:15:08 (Central EU Time)
MNO Metadata Parser                                             \Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser                                                         Completed  1999-11-30 00:00:00 (Central EU Time)
Lpksetup                                                        \Microsoft\Windows\MUI\Lpksetup                                                                                          Completed  2020-01-24 18:10:01 (Central EU Time)
LPRemove                                                        \Microsoft\Windows\MUI\LPRemove                                                                                          Completed  2020-01-25 15:51:22 (Central EU Time)
Mcbuilder                                                       \Microsoft\Windows\MUI\Mcbuilder                                                                                         Completed  2018-12-26 14:03:32 (Central EU Time)
GatherNetworkInfo                                               \Microsoft\Windows\NetTrace\GatherNetworkInfo                                                                            Completed  1999-11-30 00:00:00 (Central EU Time)
Sysprep Generalize Drivers                                      \Microsoft\Windows\Plug and Play\Sysprep Generalize Drivers                                                              Completed  1999-11-30 00:00:00 (Central EU Time)
AnalyzeSystem                                                   \Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem                                                            Completed  2020-01-28 14:19:57 (Central EU Time)
EduPrintProv                                                    \Microsoft\Windows\Printing\EduPrintProv                                                                                 Completed  1999-11-30 00:00:00 (Central EU Time)
StartComponentCleanup                                           \Microsoft\Windows\Servicing\StartComponentCleanup                                                                       Completed  2020-01-21 17:28:45 (Central EU Time)
FamilySafetyMonitor                                             \Microsoft\Windows\Shell\FamilySafetyMonitor                                                                             Completed  1999-11-30 00:00:00 (Central EU Time)
FamilySafetyRefreshTask                                         \Microsoft\Windows\Shell\FamilySafetyRefreshTask                                                                         Completed  1999-11-30 00:00:00 (Central EU Time)
IndexerAutomaticMaintenance                                     \Microsoft\Windows\Shell\IndexerAutomaticMaintenance                                                                     Completed  2020-01-27 19:20:26 (Central EU Time)
SpaceAgentTask                                                  \Microsoft\Windows\SpacePort\SpaceAgentTask                                                                              Completed  1999-11-30 00:00:00 (Central EU Time)
SpaceManagerTask                                                \Microsoft\Windows\SpacePort\SpaceManagerTask                                                                            Completed  1999-11-30 00:00:00 (Central EU Time)
HeadsetButtonPress                                              \Microsoft\Windows\Speech\HeadsetButtonPress                                                                             Completed  1999-11-30 00:00:00 (Central EU Time)
MaintenanceTasks                                                \Microsoft\Windows\StateRepository\MaintenanceTasks                                                                      Completed  2020-01-27 19:20:26 (Central EU Time)
Storage Tiers Management Initialization                         \Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization                                      Completed  1999-11-30 00:00:00 (Central EU Time)
ResPriStaticDbSync                                              \Microsoft\Windows\Sysmain\ResPriStaticDbSync                                                                            Completed  2020-01-22 13:28:07 (Central EU Time)
WsSwapAssessmentTask                                            \Microsoft\Windows\Sysmain\WsSwapAssessmentTask                                                                          Completed  2020-01-11 15:15:56 (Central EU Time)
SR                                                              \Microsoft\Windows\SystemRestore\SR                                                                                      Completed  2020-01-25 15:51:24 (Central EU Time)
ForceSynchronizeTime                                            \Microsoft\Windows\Time Synchronization\ForceSynchronizeTime                                                             Completed  1999-11-30 00:00:00 (Central EU Time)
SynchronizeTime                                                 \Microsoft\Windows\Time Synchronization\SynchronizeTime                                                                  Completed  2020-01-27 19:20:26 (Central EU Time)
SynchronizeTimeZone                                             \Microsoft\Windows\Time Zone\SynchronizeTimeZone                                                                         Completed  2020-01-26 20:15:12 (Central EU Time)
UPnPHostConfig                                                  \Microsoft\Windows\UPnP\UPnPHostConfig                                                                                   Completed  1999-11-30 00:00:00 (Central EU Time)
Windows Defender Cache Maintenance                              \Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance                                                   Completed  2020-01-27 20:34:40 (Central EU Time)
Windows Defender Cleanup                                        \Microsoft\Windows\Windows Defender\Windows Defender Cleanup                                                             Completed  2020-01-27 20:34:40 (Central EU Time)
Windows Defender Scheduled Scan                                 \Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan                                                      Completed  2020-01-27 19:20:25 (Central EU Time)
Windows Defender Verification                                   \Microsoft\Windows\Windows Defender\Windows Defender Verification                                                        Completed  2020-01-27 20:10:03 (Central EU Time)
QueueReporting                                                  \Microsoft\Windows\Windows Error Reporting\QueueReporting                                                                Completed  2020-01-29 11:18:12 (Central EU Time)
UpdateLibrary                                                   \Microsoft\Windows\Windows Media Sharing\UpdateLibrary                                                                   Completed  1999-11-30 00:00:00 (Central EU Time)
Calibration Loader                                              \Microsoft\Windows\WindowsColorSystem\Calibration Loader                                                                 Completed  2020-01-29 10:42:20 (Central EU Time)
Scheduled Start                                                 \Microsoft\Windows\WindowsUpdate\Scheduled Start                                                                         Completed  2020-01-28 19:10:20 (Central EU Time)
CDSSync                                                         \Microsoft\Windows\WlanSvc\CDSSync                                                                                       Completed  2020-01-29 10:43:22 (Central EU Time)
Work Folders Logon Synchronization                              \Microsoft\Windows\Work Folders\Work Folders Logon Synchronization                                                       Completed  2020-01-29 10:47:21 (Central EU Time)
Work Folders Maintenance Work                                   \Microsoft\Windows\Work Folders\Work Folders Maintenance Work                                                            Completed  2020-01-27 19:20:25 (Central EU Time)
DmClient                                                        \Microsoft\Windows\Feedback\Siuf\DmClient                                                                                Completed  2020-01-27 19:20:26 (Central EU Time)
DmClientOnScenarioDownload                                      \Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload                                                              Completed  2020-01-28 10:40:02 (Central EU Time)
ReconcileFeatures                                               \Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures                                                             Completed  2020-01-28 13:48:22 (Central EU Time)
RefreshCache                                                    \Microsoft\Windows\Flighting\OneSettings\RefreshCache                                                                    Completed  2020-01-29 10:45:19 (Central EU Time)
==============================================================  =======================================================================================================================  =========  =====================================
